order_number,scheduling_pool,bench_work_centres,bench_operations,bench_remaining_minutes,bench_operation_count
200234609865,LVPA,LVPA-5,0010 → 0030,3,2
200234610057,LVPA,LVPA-5,0050,309,1
200234610060,LVPA,LVPA-5,0050,1,1
200234610062,LVPA,LVPA-5,0010 → 0030,342,2
200234610065,LVPA,LVPA-5,0010 → 0030,192,2
200234610071,LVPA,LVPA-5,0020,11,1
200234610097,CSKI_MVKI,CSKI-1,0010,138,1
200234610099,CSKI_MVKI,CSKI-1,0010,134,1
200234610102,CSKI_MVKI,CSKI-1,0010,87,1
200234610106,CSKI_MVKI,CSKI-1,0010,97,1
200234610107,CSKI_MVKI,CSKI-1,0010,133,1
200234610117,LVPA,LVPA-5,0010 → 0030,288,2
200234610118,LVPA,LVPA-5,0010 → 0030,128,2
200234610119,LVPA,LVPA-5,0010 → 0030,244,2
200234610121,LVPA,LVPA-5,0010 → 0030,226,2
200234610123,LVPA,LVPA-5,0010 → 0030,46,2
200234610127,LVPA,LVPA-5,0010 → 0020,54,2
200234610128,LVPA,LVPA-5,0010 → 0020,58,2
200234610129,LVPA,LVPA-5,0010 → 0030,70,2
200234610130,LVPA,LVPA-5,0010 → 0030,59,2
200234610131,LVPA,LVPA-5,0010 → 0030,59,2
200234610132,LVPA,LVPA-5,0010 → 0030,90,2
200234610135,LVPA,LVPA-5,0050,123,1
200234610136,LVPA,LVPA-5,0050,173,1
200234610257,LVPA,LVPA-5,0050,48,1
200234610259,LVPA,LVPA-5,0010 → 0030,66,2
200234610260,LVPA,LVPA-5,0010 → 0030,66,2
200234610261,LVPA,LVPA-5,0010 → 0030,69,2
200234610262,LVPA,LVPA-5,0010 → 0030,320,2
200234610263,LVPA,LVPA-5,0050,4,1
200234617278,LVPA,LVPA-5,0010 → 0030,16,2
200234617419,LVPA,LVPA-2 / LVPA-5,0010 → 0020,129,2
200234617420,LVPA,LVPA-2 / LVPA-5,0010 → 0020,203,2
200234617918,CSKI_MVKI,MVKI-1,0010,279,1
200234617919,CSKI_MVKI,MVKI-1,0010,279,1
200234617924,CSKI_MVKI,MVKI-1,0010,257,1
200234624696,CSKI_MVKI,CSKI-1,0010,195,1
200234624959,CSKI_MVKI,CSKI-1,0010,332,1
200234627052,LVPA,LVPA-5,0050,24,1
200234627054,LVPA,LVPA-5,0010 → 0030,154,2
200234628413,LVPA,LVPA-5,0050,38,1
200234628478,LVPA,LVPA-5,0050,28,1
200234628518,LVPA,LVPA-5,0010 → 0030,450,2
200234628531,LVPA,LVPA-5,0010 → 0030,167,2
200234628534,LVPA,LVPA-5,0010 → 0030,416,2
200234628637,LVPA,LVPA-2 / LVPA-5,0010 → 0025,165,2
200234628638,LVPA,LVPA-5,0010,107,1
200234628679,LVPA,LVPA-5,0010,724,1
200234628755,LVPA,LVPA-2 / LVPA-5,0010 → 0025,249,2
200234628756,LVPA,LVPA-2 / LVPA-5,0010 → 0025,16,2
200234628797,LVPA,LVPA-5,0010,107,1
200234636647,CSKI_MVKI,MVKI-1,0010,392,1
200234636737,CSKI_MVKI,MVKI-1,0010,222,1
200234636740,CSKI_MVKI,MVKI-1,0005,95,1
200234636746,CSKI_MVKI,MVKI-1,0010,60,1
200234636747,CSKI_MVKI,MVKI-1,0010,249,1
200234636749,CSKI_MVKI,MVKI-1,0010,219,1
200234639055,LVPA,LVPA-5,0010,400,1
200234639380,LVPA,LVPA-5,0010,799,1
200234639388,LVPA,LVPA-5,0010,221,1
200234644091,LVPA,LVPA-5,0010 → 0030,168,2
200234644472,CSKI_MVKI,CSKI-1,0010,82,1
200234644474,CSKI_MVKI,CSKI-1,0010,157,1
200234644577,CSKI_MVKI,CSKI-1,0010,109,1
200234644578,CSKI_MVKI,CSKI-1,0010,157,1
200234644593,CSKI_MVKI,CSKI-1,0010,144,1
200234644711,CSKI_MVKI,CSKI-1,0010,136,1
200234644716,CSKI_MVKI,CSKI-1,0010,106,1
200234644917,CSKI_MVKI,CSKI-1,0010,90,1
200234644918,CSKI_MVKI,CSKI-1,0010,117,1
200234644920,CSKI_MVKI,CSKI-1,0010,157,1
200234644924,CSKI_MVKI,CSKI-1,0010,843,1
200234644927,CSKI_MVKI,CSKI-1,0010,83,1
200234644930,CSKI_MVKI,CSKI-1,0010,521,1
200234645364,CSKI_MVKI,MVKI-1,0005,88,1
200234645372,CSKI_MVKI,MVKI-1,0005,146,1
200234645478,CSKI_MVKI,MVKI-1,0005,137,1
200234645846,CSKI_MVKI,MVKI-1,0005,111,1
200234645848,CSKI_MVKI,MVKI-1,0005,189,1
200234645936,CSKI_MVKI,MVKI-1,0005,237,1
200234646234,CSKI_MVKI,MVKI-1,0005,94,1
200234646235,CSKI_MVKI,MVKI-1,0005,57,1
200234646502,CSKI_MVKI,CSKI-1,0010,148,1
200234646505,CSKI_MVKI,CSKI-1,0010,176,1
200234646508,CSKI_MVKI,CSKI-1,0010,668,1
200234646511,CSKI_MVKI,CSKI-1,0010,668,1
200234646512,CSKI_MVKI,CSKI-1,0010,377,1
200234646513,CSKI_MVKI,CSKI-1,0010,176,1
200234647279,LVPA,LVPA-5,0010,109,1
200234647280,LVPA,LVPA-5,0010,463,1
200234647451,LVPA,LVPA-5,0050,98,1
200234647543,LVPA,LVPA-5,0050,22,1
200234647546,LVPA,LVPA-5,0050,852,1
200234652571,LVPA,LVPA-5,0010 → 0030,32,2
200234652759,CSKI_MVKI,MVKI-1,0010,192,1
200234652767,CSKI_MVKI,MVKI-1,0010,122,1
200234652776,CSKI_MVKI,MVKI-1,0010,69,1
200234653663,CSKI_MVKI,CSKI-1,0010,142,1
200234653667,CSKI_MVKI,MVKI-1,0010,534,1
200234653671,CSKI_MVKI,MVKI-1,0010,278,1
200234653674,CSKI_MVKI,MVKI-1,0010,178,1
200234653676,CSKI_MVKI,MVKI-1,0010,143,1
200234653839,CSKI_MVKI,MVKI-1,0010,257,1
200234653841,CSKI_MVKI,MVKI-1,0010,24,1
200234653848,CSKI_MVKI,MVKI-1,0005,159,1
200234654152,CSKI_MVKI,MVKI-1,0005,165,1
200234654279,CSKI_MVKI,MVKI-1,0010,101,1
200234654282,CSKI_MVKI,MVKI-1,0010,145,1
200234654284,CSKI_MVKI,MVKI-1,0010,167,1
200234654287,CSKI_MVKI,MVKI-1,0005,95,1
200234654290,CSKI_MVKI,MVKI-1,0010,87,1
200234654294,CSKI_MVKI,MVKI-1,0010,136,1
200234654464,CSKI_MVKI,MVKI-1,0010,64,1
200234654597,LVPA,LVPA-5,0010 → 0030,128,2
200234654605,LVPA,LVPA-5,0010 → 0030,128,2
200234654607,LVPA,LVPA-5,0010 → 0030,480,2
200234654608,LVPA,LVPA-5,0010 → 0030,208,2
200234654610,LVPA,LVPA-5,0010 → 0030,480,2
200234654697,LVPA,LVPA-5,0010,808,1
200234654701,LVPA,LVPA-5,0010,60,1
200234654703,LVPA,LVPA-5,0010 → 0030,288,2
200234654818,LVPA,LVPA-5,0050,47,1
200234654833,LVPA,LVPA-5,0050,3,1
200234654835,LVPA,LVPA-5,0010 → 0030,67,2
200234654836,LVPA,LVPA-5,0050,32,1
200234654918,LVPA,LVPA-5,0050,214,1
200234654919,LVPA,LVPA-5,0050,57,1
200234654921,LVPA,LVPA-5,0050,51,1
200234654922,LVPA,LVPA-5,0010 → 0030,47,2
200234654923,LVPA,LVPA-5,0010 → 0030,17,2
200234654924,LVPA,LVPA-5,0010 → 0020,190,2
200234654925,LVPA,LVPA-5,0010 → 0020,124,2
200234654927,LVPA,LVPA-5,0010 → 0030,42,2
200234654928,LVPA,LVPA-5,0010 → 0030,124,2
200234654931,LVPA,LVPA-5,0010 → 0030,138,2
200234654932,LVPA,LVPA-5,0010 → 0030,272,2
200234654934,LVPA,LVPA-5,0010 → 0030,181,2
200234654935,LVPA,LVPA-5,0010 → 0030,103,2
200234654936,LVPA,LVPA-5,0010 → 0030,186,2
200234655062,LVPA,LVPA-5,0010 → 0030,320,2
200234655065,LVPA,LVPA-5,0010 → 0030,244,2
200234655066,LVPA,LVPA-5,0010 → 0030,87,2
200234655068,CSKI_MVKI,CSKI-1,0010,95,1
200234655070,LVPA,LVPA-5,0010 → 0030,98,2
200234655072,LVPA,LVPA-5,0010 → 0030,59,2
200234655073,CSKI_MVKI,CSKI-1,0010,119,1
200234655074,LVPA,LVPA-5,0010 → 0030,65,2
200234655075,LVPA,LVPA-5,0010 → 0030,43,2
200234655076,CSKI_MVKI,CSKI-1,0010,91,1
200234660243,CSKI_MVKI,CSKI-1,0010,582,1
200234661387,CSKI_MVKI,MVKI-1,0010,392,1
200234661395,CSKI_MVKI,MVKI-1,0010,136,1
200234661708,CSKI_MVKI,MVKI-1,0010,278,1
200234670169,CSKI_MVKI,MVKI-1,0010,58,1
200234670383,CSKI_MVKI,CSKI-1,0010,888,1
200234671020,CSKI_MVKI,CSKI-1,0010,656,1
200234671023,CSKI_MVKI,CSKI-1,0010,291,1
200234671032,CSKI_MVKI,CSKI-1,0010,787,1
200234671930,CSKI_MVKI,CSKI-1,0010,266,1
200234671931,CSKI_MVKI,CSKI-1,0010,403,1
200234671932,CSKI_MVKI,CSKI-1,0010,235,1
200234671934,CSKI_MVKI,CSKI-1,0010,266,1
200234671935,CSKI_MVKI,CSKI-1,0010,107,1
200234672180,CSKI_MVKI,CSKI-1,0010,137,1
200234672191,CSKI_MVKI,CSKI-1,0010,616,1
200234672195,CSKI_MVKI,CSKI-1,0010,122,1
200234672208,CSKI_MVKI,CSKI-1,0010,266,1
200234673117,CSKI_MVKI,MVKI-1,0010,279,1
200234673235,LVPA,LVPA-5,0010,434,1
200234673236,LVPA,LVPA-5,0010,543,1
200234673247,CSKI_MVKI,CSKI-1,0010,86,1
200234673387,LVPA,LVPA-5,0010,217,1
200234673388,LVPA,LVPA-5,0010,217,1
200234673391,LVPA,LVPA-5,0010,109,1
200234673392,LVPA,LVPA-5,0010,36,1
200234673395,LVPA,LVPA-5,0010,724,1
200234673396,LVPA,LVPA-5,0010,1085,1
200234673478,LVPA,LVPA-2 / LVPA-5,0010 → 0025,249,2
200234673481,LVPA,LVPA-5,0010,362,1
200234673489,LVPA,LVPA-5,0010,200,1
200234673493,LVPA,LVPA-2 / LVPA-5,0010 → 0025,126,2
200234673494,LVPA,LVPA-2 / LVPA-5,0010 → 0025,82,2
200234673533,LVPA,LVPA-5,0010,109,1
200234673849,LVPA,LVPA-5,0050,314,1
200234673850,LVPA,LVPA-5,0010 → 0030,26,2
200234673851,LVPA,LVPA-5,0010 → 0030,20,2
200234673852,LVPA,LVPA-5,0010 → 0030,26,2
200234673853,LVPA,LVPA-5,0010 → 0030,87,2
200234673854,LVPA,LVPA-5,0010 → 0030,83,2
200234673856,LVPA,LVPA-5,0010 → 0030,23,2
200234673863,LVPA,LVPA-5,0010,579,1
200234673864,LVPA,LVPA-5,0010,80,1
200234673866,LVPA,LVPA-2 / LVPA-5,0010 → 0025,52,2
200234674037,LVPA,LVPA-5,0010 → 0030,96,2
200234674038,LVPA,LVPA-5,0010 → 0030,64,2
200234674039,LVPA,LVPA-5,0010 → 0030,16,2
200234674040,LVPA,LVPA-5,0010 → 0030,60,2
200234674041,LVPA,LVPA-5,0010 → 0030,96,2
200234674042,LVPA,LVPA-5,0010 → 0030,17,2
200234674043,LVPA,LVPA-5,0010 → 0030,122,2
200234674047,LVPA,LVPA-5,0010 → 0030,256,2
200234674098,CSKI_MVKI,MVKI-1,0005,245,1
200234678868,CSKI_MVKI,CSKI-1,0010,217,1
200234680640,CSKI_MVKI,CSKI-1,0010,122,1
200234680918,CSKI_MVKI,MVKI-1,0010,133,1
200234680924,CSKI_MVKI,MVKI-1,0010,183,1
200234680933,CSKI_MVKI,MVKI-1,0005,155,1
200234680936,CSKI_MVKI,MVKI-1,0010,87,1
200234681117,CSKI_MVKI,MVKI-1,0010,120,1
200234681119,CSKI_MVKI,MVKI-1,0010,143,1
200234683690,LVPA,LVPA-5,0010,362,1
200234683693,LVPA,LVPA-5,0010,724,1
200234688376,CSKI_MVKI,MVKI-1,0010,162,1
200234688778,CSKI_MVKI,CSKI-1,0010,585,1
200234689848,LVPA,LVPA-5,0050,19,1
